restaurant_name,city,area,rating,cost_for_two_in_rupees,cuisine,discount,book_table,walkin_available
Hard Rock Cafe,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.0,1500.0,Multicuisine,50,False,False
Desi Villagio,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.1,1300.0,Indian,40,False,False
"MIST, THE Park New Delhi",Delhi-NCR,"The Park, New Delhi",4.0,2500.0,Multicuisine,35,False,False
Duty Free Vayu Bar,Delhi-NCR,"Rajouri Garden, West Delhi",4.4,1500.0,"Multicuisine, Cocktail Menu",50,False,False
Fifty9,Delhi-NCR,"Radisson Blu Marina, New Delhi",4.4,2500.0,Multicuisine,40,False,False
Longitude,Delhi-NCR,"Le Meridien, New Delhi",3.3,2000.0,Fast Food,35,False,False
Biryani By Kilo,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.6,700.0,Biryani,25,False,False
Vega,Delhi-NCR,"Hotel Alka Classic, New Delhi",4.2,1700.0,North Indian,20,False,False
Barista Coffee,Delhi-NCR,"Shivaji Stadium Metro Station, Connaught Place (CP), Central Delhi",4.0,500.0,"Cafe, Coffee",20,False,False
Dr. Zombie,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.3,1000.0,"Cocktail Menu, Italian",50,False,False
Local,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.1,1200.0,Multicuisine,30,False,False
The Darzi Bar & Kitchen,Delhi-NCR,"Connaught Place (CP), Central Delhi",3.7,1500.0,Multicuisine,15,False,False
Sakura,Delhi-NCR,"The Metropolitan Hotel & Spa, New Delhi",4.0,4500.0,"Japanese, Sushi",35,False,False
Ministry Of Beer,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.1,1500.0,"Cocktail Menu, Multicuisine",25,False,False
Cafe Out of the Box Courtyard,Delhi-NCR,"Connaught Place (CP), Central Delhi",3.9,1200.0,Multicuisine,25,False,False
Chido,Delhi-NCR,"Connaught Place (CP), Central Delhi",3.9,1800.0,"Cocktail Menu, Multicuisine",30,False,False
Thyme,Delhi-NCR,"The Umrao, New Delhi",4.1,1800.0,Multicuisine,30,False,False
Themis Barbecue House,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.5,2400.0,Multicuisine,50,False,False
Lazeez Affaire,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.3,1600.0,North Indian,50,False,False
Aqua,Delhi-NCR,"The Park, New Delhi",3.9,2800.0,Multicuisine,20,False,False
Lord of the Drinks,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.2,1800.0,"Cocktail Menu, Multicuisine",40,False,False
Plum Coffee & Cocktails,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.3,2000.0,Multicuisine,15,False,False
Openhouse Cafe,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.2,2000.0,Multicuisine,30,False,False
Drama Delhi,Delhi-NCR,"Janpath, Connaught Place (CP), Central Delhi",3.3,1700.0,"Indian, Multicuisine",15,False,False
Zing,Delhi-NCR,"The Metropolitan Hotel & Spa, New Delhi",1.0,3500.0,Multicuisine,50,False,False
Baluchi,Delhi-NCR,"The Lalit, New Delhi",4.0,2500.0,North Indian,25,False,False
Ghoomar Traditional Thali Restaurant,Delhi-NCR,"Connaught Place (CP), Central Delhi",3.9,1000.0,"North Indian, Rajasthani",30,False,False
Warehouse Cafe,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.1,1300.0,"Cocktail Menu, Multicuisine",50,False,False
The Embassy,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.2,2000.0,Multicuisine,20,False,False
38 Barracks,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.2,1100.0,Multicuisine,15,False,False
Sorrento,Delhi-NCR,Shangri-La Eros New Delhi,4.6,3000.0,Italian,30,False,False
Gola Sizzlers,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.3,1500.0,"Multicuisine, Sizzlers",25,False,False
"Chutney, Bar + Tandoor",Delhi-NCR,"The Metropolitan Hotel & Spa, New Delhi",3.5,3000.0,Indian,10,False,False
Royal Bistro Brewery,Delhi-NCR,"The Royal Plaza, New Delhi",4.1,2500.0,Multicuisine,25,False,False
Roasted,Delhi-NCR,"Roseate House, New Delhi",4.4,1000.0,"Bakery, Cafe",20,False,False
Tamra,Delhi-NCR,Shangri-La Eros New Delhi,4.4,3000.0,Multicuisine,50,False,False
Moti Mahal,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.2,1500.0,North Indian,50,False,False
Yeti-The Himalayan Kitchen,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.3,1200.0,"Chinese, Nepalese, Tibetan",25,False,False
The Beer Cafe - BIGGIE,Delhi-NCR,"Connaught Place (CP), Central Delhi",3.9,1800.0,"Cocktail Menu, Multicuisine",15,False,False
Quoin Bar,Delhi-NCR,Novotel New Delhi Aerocity-An AccorHotels Brand,4.8,3500.0,"Finger Food, Cocktail Menu",15,False,False
The Imperial Spice,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.4,2000.0,"Continental, North Indian",50,False,False
Shang Palace,Delhi-NCR,Shangri-La Eros New Delhi,4.5,3000.0,Chinese,20,False,False
DEL,Delhi-NCR,"Roseate House, New Delhi",4.3,3000.0,Multicuisine,25,False,False
Chidyaghar Bar,Delhi-NCR,"Roseate House, New Delhi",4.6,3000.0,Multicuisine,50,False,False
Farzi Cafe,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.2,1500.0,Modern Indian,50,False,False
Cacao- A Restrobar,Mumbai,"Aralia International Airport, Mumbai",4.0,1200.0,"Mexican, Indian, Italian",30,False,False
24/7 Restaurant,Mumbai,"The Lalit, Mumbai",4.4,3500.0,"Multicuisine, Bengali",25,False,False
Zytun- The Restaurant,Mumbai,"Hotel Metropolis, Mumbai",4.3,1200.0,Multicuisine,25,False,False
Fusion Ville,Mumbai,"Marol, Central Mumbai",4.1,1200.0,Multicuisine,25,False,False
SPICE OASIS,Mumbai,"IRA BY ORCHID HOTELS, Mumbai",4.1,2600.0,Multicuisine,50,False,False
The Brasserie BY HILTON MUMBAI,Mumbai,"Hilton Mumbai, Mumbai",4.2,2200.0,Multicuisine,50,False,False
Fiona,Mumbai,Radisson Blu Mumbai International Airport,4.2,3000.0,"Cocktail Menu, Multicuisine",50,False,False
Madeleine De Proust,Mumbai,"Fairmont, Vile Parle, Mumbai",5.0,2000.0,Multicuisine,25,False,False
Heritage Kitchen & Bar,Mumbai,"Andheri East, Western Suburbs",3.4,1000.0,Multicuisine,20,False,False
Global Coffee House & Eatery,Mumbai,"Bloom Hotel - Saki Vihar, Powai",5.0,2500.0,Multicuisine,40,False,False
SMOOR,Mumbai,"Powai, Central Mumbai",4.7,600.0,European,10,False,False
Mado Mado,Mumbai,Fairfield by Marriott Mumbai International Airport,4.3,3000.0,Multicuisine,50,False,False
Uttam Da Dhaba,Mumbai,"Marol, Central Mumbai",4.3,1200.0,South Indian,10,False,False
Fly Kitchen and Bar,Mumbai,"Andheri East, Western Suburbs",1.0,1700.0,Multicuisine,20,False,False
Gallery Cafe,Mumbai,Radisson Mumbai Andheri MIDC,4.2,2500.0,Multicuisine,55,False,False
72 Bar,Mumbai,"Holiday Inn Mumbai International Airport, Mumbai",4.3,2000.0,"Finger Food, Cocktail Menu",50,False,False
Baluchi,Mumbai,"The Lalit, Mumbai",4.4,3500.0,North Indian,25,False,False
"Castor Bistro Café By Aralia – A Business Hotel, Midc",Mumbai,"Andheri East, Western Suburbs",4.6,1200.0,Multicuisine,30,False,False
Shetty Lounge,Mumbai,"Marol, Central Mumbai",4.0,1600.0,"Chinese, Indian",10,False,False
Dhaba,Mumbai,"Marol, Central Mumbai",5.0,800.0,Multicuisine,10,False,False
Lounge Bar BY HILTON MUMBAI,Mumbai,"Hilton Mumbai, Mumbai",4.1,2000.0,"Finger Food, Cocktail Menu",30,False,False
Gourmet Bar By Novotel,Mumbai,Novotel Mumbai International Airport,4.9,2500.0,Modern Indian,30,False,False
JW Cafe,Mumbai,"JW Marriott Mumbai Sahar, Mumbai",4.5,4000.0,Multicuisine,25,False,False
Navya,Mumbai,"The Regale by Tunga, Mumbai",4.5,850.0,Multicuisine,25,False,False
Kohana,Mumbai,"Powai, Central Mumbai",3.6,3500.0,Multicuisine,10,False,False
Saptami,Mumbai,"Holiday Inn Mumbai International Airport, Mumbai",4.4,2000.0,Multicuisine,30,False,False
Kona Kona Kitchen & Bar,Mumbai,"Andheri East, Western Suburbs",4.0,1500.0,"European, Indian",25,False,False
British Brewing Company,Mumbai,"Marol, Central Mumbai",4.1,2000.0,"Desserts, Cocktail Menu, Multicuisine",30,False,False
Mayouchi,Mumbai,The Westin Mumbai Powai Lake,4.5,2000.0,"Japanese, oriental",25,False,False
MoMo Cafe,Mumbai,Courtyard Mumbai International Airport,4.3,3000.0,Multicuisine,25,False,False
Food Exchange By Novotel,Mumbai,Novotel Mumbai International Airport,4.4,2000.0,Multicuisine,50,False,False
Indriya Mishran,Mumbai,"Andheri East, Western Suburbs",4.5,1600.0,"Multicuisine, Japanese, Asian",30,False,False
Lake View Cafe,Mumbai,The Westin Mumbai Powai Lake,4.4,3000.0,Multicuisine,25,False,False
Something's Fishy,Mumbai,"Tunga International, Mumbai",4.6,1700.0,Seafood,10,False,False
Fame Garden Prive,Mumbai,"Powai, Central Mumbai",4.4,2500.0,European,20,False,False
Crimson,Mumbai,"Marriott Executive Apartments, Powai",5.0,2000.0,Multicuisine,20,False,False
Whats Your Plan ?,Mumbai,"Sakinaka, Central Mumbai",4.7,1600.0,"Multicuisine, Asian",25,False,False
Episode One,Mumbai,"Powai, Central Mumbai",4.3,1400.0,Finger Food,20,False,False
Asia Kitchen By Mainland China,Mumbai,"Sakinaka, Central Mumbai",4.4,1600.0,Pan Asian,20,False,False
Deli Shop BY HILTON MUMBAI,Mumbai,"Hilton Mumbai, Mumbai",5.0,800.0,Bakery,50,False,False
Brew Code- Holiday Inn,Mumbai,"Holiday Inn Mumbai International Airport, Mumbai",5.0,800.0,"Cafe, Bakery",50,False,False
190 AMSL By Novotel,Mumbai,Novotel Mumbai International Airport,4.8,995.0,"Asian, Continental",30,False,False
Foo Powai,Mumbai,"Powai, Central Mumbai",4.5,2000.0,"Chinese, Sushi, Asian",25,False,False
The Solitaire Restaurant,Mumbai,"Hotel Kohinoor Continental, Mumbai",4.4,2500.0,Multicuisine,50,False,False
Avartana,Mumbai,"ITC Maratha, Mumbai",5.0,5000.0,Indian,10,False,False
Savera Lassi Shop,Bengaluru,"Shivajinagar, Central Bengaluru",4.7,2000.0,"Ice Cream, Beverages",10,False,False
My Breakfast,Bengaluru,"Shivajinagar, Central Bengaluru",4.0,2000.0,Multicuisine,10,False,False
Masha Allah Hot And Cool Point,Bengaluru,"Shivajinagar, Central Bengaluru",4.0,2000.0,Fast Food,10,False,False
Tipsy Cafe,Bengaluru,"Shivajinagar, Central Bengaluru",4.0,2000.0,Fast Food,10,False,False
Shahi Restaurant,Bengaluru,"Shivajinagar, Central Bengaluru",3.0,2000.0,Multicuisine,10,False,False
Main Lassi Shop,Bengaluru,"Shivajinagar, Central Bengaluru",1.0,2000.0,Multicuisine,10,False,False
Maggi Baba,Bengaluru,"Shivajinagar, Central Bengaluru",5.0,2000.0,Beverages,25,False,False
Romeo Cafe,Bengaluru,"Shivajinagar, Central Bengaluru",4.0,2000.0,Multicuisine,25,False,False
Flo,Bengaluru,"Church Street, Central Bengaluru",3.4,2000.0,"Cocktail Menu, Multicuisine",45,False,False
CBD Central Bar District,Bengaluru,"MSR Nagar, Bengaluru",4.9,1200.0,Multicuisine,20,False,False
Juliana's,Bengaluru,"Infantry Road, Central Bengaluru",5.0,1400.0,"Pan Asian, Continental",25,False,False
ShakesBierre,Bengaluru,"MG Road, Central Bengaluru",4.4,2000.0,"Cocktail Menu, Multicuisine",10,False,False
SMOOR,Bengaluru,"Lavelle Road, Central Bengaluru",4.5,2000.0,European,10,False,False
Hard Rock Cafe,Bengaluru,"St. Marks Road, Central Bengaluru",4.5,2500.0,"Multicuisine, Burgers",20,False,False
By Chance,Bengaluru,"Brigade Road, Central Bengaluru",4.5,1500.0,Multicuisine,50,False,False
Tiamo,Bengaluru,Conrad Bengaluru,4.4,3000.0,"Italian, Mediterranean",20,False,False
Burnout Cafe,Bengaluru,"Infantry Road, Central Bengaluru",3.9,2000.0,"Continental, Chinese, Multicuisine",15,False,False
Muro India,Bengaluru,"Museum Road, Ashok Nagar, Bengaluru",4.6,5000.0,"Thai, Cantonese",25,False,False
Rolls On Wheels,Bengaluru,"Cunningham Road, Central Bengaluru",4.0,500.0,"Chinese, Fast Food",15,False,False
Church Street Social,Bengaluru,"Church Street, Central Bengaluru",4.2,2000.0,Multicuisine,15,False,False
Kling Brewery,Bengaluru,"Church Street, Central Bengaluru",4.5,2000.0,Multicuisine,25,False,False
The Market,Bengaluru,"The Ritz-Carlton, Bengaluru",4.5,4000.0,"All Day Dining, Multicuisine",25,False,False
Utse Kitchen,Bengaluru,"Shivajinagar, Central Bengaluru",5.0,1500.0,Asian,25,False,False
Café Azzure,Bengaluru,"MG Road, Central Bengaluru",4.2,2000.0,European,15,False,False
Punjab Grill,Bengaluru,"Ashok Nagar, Bengaluru",4.2,2000.0,North Indian,20,False,False
KA 01 - Rooftop Bar & Eats,Bengaluru,"Ibis Hotel, Richmond Road",4.4,2000.0,"Indian, Cocktail Menu",10,False,False
Hatti Kaapi,Bengaluru,"Infantry Road, Central Bengaluru",5.0,400.0,Multicuisine,10,False,False
Mikusu,Bengaluru,Conrad Bengaluru,4.5,3000.0,"Thai, Chinese, Japanese",25,False,False
Maayaa,Bengaluru,"The Courtyard by Sublime, Bengaluru",4.4,2000.0,South Indian,25,False,False
Pizza Stop,Bengaluru,"Lavelle Road, Central Bengaluru",4.0,700.0,"Fast Food, Italian",25,False,False
JW Kitchen,Bengaluru,"JW Marriott, Bengaluru, Central Bengaluru",4.4,2500.0,Multicuisine,25,False,False
Serious Slice,Bengaluru,"Cunningham Road, Central Bengaluru",4.0,5000.0,Italian,25,False,False
