restaurant_name,city,area,rating,cost_for_two,cuisine,discount,book_table,walkin_available
Hard Rock Cafe,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.0,₹1500 for two,Multicuisine,50% off,False,False
Desi Villagio,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.1,₹1300 for two,Indian,Flat 40% + 25% with Bank Offers,False,False
"MIST, THE Park New Delhi",Delhi-NCR,"The Park, New Delhi",4.0,₹2500 for two,Multicuisine,Flat 35% + 25% with Bank Offers,False,False
Duty Free Vayu Bar,Delhi-NCR,"Rajouri Garden, West Delhi",4.4,₹1500 for two,"Multicuisine, Cocktail Menu",Flat 50% + 25% with Bank Offers,False,False
Fifty9,Delhi-NCR,"Radisson Blu Marina, New Delhi",4.4,₹2500 for two,Multicuisine,Flat 40% + 25% with Bank Offers,False,False
Longitude,Delhi-NCR,"Le Meridien, New Delhi",3.3,₹2000 for two,Fast Food,Flat 35% + 25% with Bank Offers,False,False
Biryani By Kilo,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.6,₹700 for two,Biryani,Flat 25% + 25% with Bank Offers,False,False
Vega,Delhi-NCR,"Hotel Alka Classic, New Delhi",4.2,₹1700 for two,North Indian,Flat 20% + 25% with Bank Offers,False,False
Barista Coffee,Delhi-NCR,"Shivaji Stadium Metro Station, Connaught Place (CP), Central Delhi",4.0,₹500 for two,"Cafe, Coffee",Flat 20% + 25% with Bank Offers,False,False
Dr. Zombie,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.3,₹1000 for two,"Cocktail Menu, Italian",50% off,False,False
Local,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.1,₹1200 for two,Multicuisine,Flat 30% + 25% with Bank Offers,False,False
The Darzi Bar & Kitchen,Delhi-NCR,"Connaught Place (CP), Central Delhi",3.7,₹1500 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
Sakura,Delhi-NCR,"The Metropolitan Hotel & Spa, New Delhi",4.0,₹4500 for two,"Japanese, Sushi",Flat 35% + 25% with Bank Offers,False,False
Ministry Of Beer,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.1,₹1500 for two,"Cocktail Menu, Multicuisine",Flat 25% + 25% with Bank Offers,False,False
Cafe Out of the Box Courtyard,Delhi-NCR,"Connaught Place (CP), Central Delhi",3.9,₹1200 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
Chido,Delhi-NCR,"Connaught Place (CP), Central Delhi",3.9,₹1800 for two,"Cocktail Menu, Multicuisine",Flat 30% + 25% with Bank Offers,False,False
Thyme,Delhi-NCR,"The Umrao, New Delhi",4.1,₹1800 for two,Multicuisine,Flat 30% + 25% with Bank Offers,False,False
Themis Barbecue House,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.5,₹2400 for two,Multicuisine,Flat 50% + 25% with Bank Offers,False,False
Lazeez Affaire,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.3,₹1600 for two,North Indian,50% off,False,False
Aqua,Delhi-NCR,"The Park, New Delhi",3.9,₹2800 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Lord of the Drinks,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.2,₹1800 for two,"Cocktail Menu, Multicuisine",Flat 40% + 25% with Bank Offers,False,False
Plum Coffee & Cocktails,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.3,₹2000 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
Openhouse Cafe,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.2,₹2000 for two,Multicuisine,Flat 30% + 25% with Bank Offers,False,False
Drama Delhi,Delhi-NCR,"Janpath, Connaught Place (CP), Central Delhi",3.3,₹1700 for two,"Indian, Multicuisine",Flat 15% + 25% with Bank Offers,False,False
Zing,Delhi-NCR,"The Metropolitan Hotel & Spa, New Delhi",1.0,₹3500 for two,Multicuisine,Flat 50% + 25% with Bank Offers,False,False
Baluchi,Delhi-NCR,"The Lalit, New Delhi",4.0,₹2500 for two,North Indian,Flat 25% + 25% with Bank Offers,False,False
Ghoomar Traditional Thali Restaurant,Delhi-NCR,"Connaught Place (CP), Central Delhi",3.9,₹1000 for two,"North Indian, Rajasthani",Flat 30% + 25% with Bank Offers,False,False
Warehouse Cafe,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.1,₹1300 for two,"Cocktail Menu, Multicuisine",50% off,False,False
The Embassy,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.2,₹2000 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
38 Barracks,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.2,₹1100 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
Sorrento,Delhi-NCR,Shangri-La Eros New Delhi,4.6,₹3000 for two,Italian,Flat 30% + 25% with Bank Offers,False,False
Gola Sizzlers,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.3,₹1500 for two,"Multicuisine, Sizzlers",Flat 25% + 25% with Bank Offers,False,False
"Chutney, Bar + Tandoor",Delhi-NCR,"The Metropolitan Hotel & Spa, New Delhi",3.5,₹3000 for two,Indian,Flat 10% + 25% with Bank Offers,False,False
Royal Bistro Brewery,Delhi-NCR,"The Royal Plaza, New Delhi",4.1,₹2500 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
Roasted,Delhi-NCR,"Roseate House, New Delhi",4.4,₹1000 for two,"Bakery, Cafe",Flat 20% + 25% with Bank Offers,False,False
Tamra,Delhi-NCR,Shangri-La Eros New Delhi,4.4,₹3000 for two,Multicuisine,Flat 50% + 25% with Bank Offers,False,False
Moti Mahal,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.2,₹1500 for two,North Indian,50% off,False,False
Yeti-The Himalayan Kitchen,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.3,₹1200 for two,"Chinese, Nepalese, Tibetan",Flat 25% + 25% with Bank Offers,False,False
The Beer Cafe - BIGGIE,Delhi-NCR,"Connaught Place (CP), Central Delhi",3.9,₹1800 for two,"Cocktail Menu, Multicuisine",Flat 15% + 25% with Bank Offers,False,False
Quoin Bar,Delhi-NCR,Novotel New Delhi Aerocity-An AccorHotels Brand,4.8,₹3500 for two,"Finger Food, Cocktail Menu",Flat 15% + 25% with Bank Offers,False,False
The Imperial Spice,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.4,₹2000 for two,"Continental, North Indian",Flat 50% + 25% with Bank Offers,False,False
Shang Palace,Delhi-NCR,Shangri-La Eros New Delhi,4.5,₹3000 for two,Chinese,Flat 20% + 25% with Bank Offers,False,False
DEL,Delhi-NCR,"Roseate House, New Delhi",4.3,₹3000 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
Chidyaghar Bar,Delhi-NCR,"Roseate House, New Delhi",4.6,₹3000 for two,Multicuisine,Flat 50% + 25% with Bank Offers,False,False
Farzi Cafe,Delhi-NCR,"Connaught Place (CP), Central Delhi",4.2,₹1500 for two,Modern Indian,Flat 50% + 25% with Bank Offers,False,False
